MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,RL,4.454347296253507,9.386392315756542,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,"(7.0, 10.0]","(0.999, 5.0]",2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,5.659482215759621,Ex,TA,PConc,Ex,TA,No,GLQ,6.906754778648554,Unf,0.0,177,1175,GasA,Ex,Y,SBrkr,7.075808863978387,1142,No Feature,7.751475318021456,"(-0.001, 1.0]","(-0.001, 2.0]","(2.0, 3.0]","(-0.001, 1.0]","(3.0, 8.0]","(-0.001, 1.0]",Ex,"(8.0, 14.0]",Typ,"(1.0, 3.0]",Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,4.997212273764115,3.091042453358316,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,7,2006,New,Partial,12.75130259456002
20,RL,4.378687733408367,9.470317173335742,Pave,NoAlley,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,"(0.999, 5.0]","(5.0, 7.0]",1962,1962,Hip,CompShg,HdBoard,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,6.6039438246004725,Unf,0.0,175,912,GasA,TA,Y,SBrkr,6.816735880594968,0,No Feature,6.816735880594968,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",TA,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Detchd,1962.0,Unf,1,352,TA,TA,Y,4.948759890378168,0.0,0.0,No Feature,5.176149732573829,No Feature,NoPool,NoFence,NoFeature,No Feature,9,2008,WD,Normal,11.87757552297847
20,RL,4.5217885770490405,9.273596821611198,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,"(6.0, 7.0]","(0.999, 5.0]",2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,5.726847747587197,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,1494,1494,GasA,Ex,Y,SBrkr,7.3098814858247865,0,No Feature,7.3098814858247865,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",Gd,"(6.0, 7.0]",Typ,"(-0.001, 1.0]",Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,5.081404364984463,3.5263605246161616,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,8,2007,New,Partial,12.540761149388421
20,RL,4.31748811353631,9.298442820197728,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,"(5.0, 6.0]","(0.999, 5.0]",1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,5.3612921657094255,TA,TA,CBlock,TA,TA,No,BLQ,6.598509028614515,Unf,0.0,520,1253,GasA,TA,Y,SBrkr,7.134093721192866,0,No Feature,7.134093721192866,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",TA,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0.0,5.365976015021851,5.176149732573829,No Feature,0.0,No Feature,NoPool,GdWo,NoFeature,No Feature,5,2008,WD,Normal,11.964007453736912
45,RM,3.9512437185814275,8.71948076085107,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,"(6.0, 7.0]","(7.0, 9.0]",1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,832,832,GasA,Ex,Y,FuseA,6.75110146893676,0,No Feature,6.75110146893676,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",TA,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Detchd,1991.0,Unf,2,576,TA,TA,Y,3.8918202981106265,4.727387818712341,0.0,No Feature,0.0,No Feature,NoPool,GdPrv,NoFeature,No Feature,7,2007,WD,Normal,11.790564777297387
20,RL,4.3481250829982,9.32741204356202,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,"(5.0, 6.0]","(5.0, 7.0]",1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,5.198497031265826,TA,TA,CBlock,TA,TA,No,ALQ,6.361302477572996,Unf,0.0,426,1004,GasA,Ex,Y,SBrkr,6.912742820493176,0,No Feature,6.912742820493176,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",TA,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0.0,0.0,0.0,No Feature,0.0,No Feature,NoPool,NoFence,Shed,Has Feature,3,2010,WD,Normal,11.91170829631447
90,RL,4.290459441148391,9.286560397887591,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,"(0.999, 5.0]","(0.999, 5.0]",1967,1967,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,Slab,NoBasement,NoBasement,NoBasement,NoBasement,0.0,NoBasement,0.0,0,0,GasA,TA,Y,SBrkr,7.167809184316444,0,No Feature,7.167809184316444,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 3.0]",TA,"(5.0, 6.0]",Typ,"(-0.001, 1.0]",NoFirePlace,CarPort,1967.0,Unf,2,516,TA,TA,Y,0.0,0.0,0.0,No Feature,0.0,No Feature,NoPool,NoFence,Shed,Has Feature,10,2006,WD,Normal,11.407576060361786
20,RL,4.204692619390966,9.524859098381523,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,"(0.999, 5.0]","(0.999, 5.0]",2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,TA,TA,No,GLQ,6.472346294500901,Unf,0.0,468,1114,GasA,Ex,Y,SBrkr,7.016609683894219,0,No Feature,7.016609683894219,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",Gd,"(5.0, 6.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Detchd,2004.0,Unf,2,576,TA,TA,Y,0.0,4.634728988229636,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,6,2008,WD,Normal,11.976665770490767
20,RL,4.2626798770413155,8.93075873555827,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,"(0.999, 5.0]","(5.0, 7.0]",1958,1965,Hip,CompShg,BrkFace,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,LwQ,6.22455842927536,Unf,0.0,525,1029,GasA,TA,Y,SBrkr,7.200424892944957,0,No Feature,7.200424892944957,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(5.0, 6.0]",Min1,"(-0.001, 1.0]",NoFirePlace,Attchd,1958.0,Unf,1,294,TA,TA,Y,0.0,0.0,0.0,No Feature,0.0,No Feature,NoPool,MnPrv,NoFeature,No Feature,5,2009,COD,Abnorml,11.842236406331555
60,RL,4.624972813284271,9.562123369834488,Pave,NoAlley,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,"(7.0, 10.0]","(0.999, 5.0]",2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,5.942799375126701,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1158,1158,GasA,Ex,Y,SBrkr,7.055312843339752,1218,No Feature,7.773594467360194,"(-0.001, 1.0]","(-0.001, 2.0]","(2.0, 3.0]","(-0.001, 1.0]","(3.0, 8.0]","(-0.001, 1.0]",Gd,"(8.0, 14.0]",Typ,"(-0.001, 1.0]",Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,5.484796933490655,5.043425116919247,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,11,2006,New,Partial,12.692506186542177
45,RM,4.060443010546419,8.915969311373605,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,"(6.0, 7.0]","(5.0, 7.0]",1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,637,637,GasA,Ex,Y,FuseF,7.011213987350367,0,No Feature,7.011213987350367,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",Gd,"(5.0, 6.0]",Typ,"(-0.001, 1.0]",Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0.0,0.0,5.327876168789581,No Feature,0.0,No Feature,NoPool,GdPrv,NoFeature,No Feature,6,2007,WD,Normal,11.845109950883979
20,RL,4.330733340286331,9.184304357425342,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,"(7.0, 10.0]","(0.999, 5.0]",2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,5.641907070938114,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1777,1777,GasA,Ex,Y,SBrkr,7.493317248862145,0,No Feature,7.493317248862145,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",Gd,"(6.0, 7.0]",Typ,"(-0.001, 1.0]",Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,5.147494476813453,5.075173815233827,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,9,2008,WD,Normal,12.345838935721968
120,RM,3.8066624897703196,8.348774539791274,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,"(0.999, 5.0]","(5.0, 7.0]",1976,1976,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,6.734591659972948,Unf,0.0,200,1040,GasA,TA,Y,SBrkr,6.966967138613983,0,No Feature,6.966967138613983,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",TA,"(5.0, 6.0]",Typ,"(-0.001, 1.0]",TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,4.61512051684126,4.709530201312334,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,6,2007,WD,Normal,11.774527900858468
20,RL,4.252297527999097,9.017604776833355,Pave,NoAlley,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,"(0.999, 5.0]","(7.0, 9.0]",1968,2001,Gable,CompShg,Plywood,Plywood,,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,5.241747015059643,ALQ,6.505784060128229,204,1060,GasA,Ex,Y,SBrkr,6.966967138613983,0,No Feature,6.966967138613983,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",Gd,"(5.0, 6.0]",Typ,"(-0.001, 1.0]",TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,6.008813185442595,4.51085950651685,0.0,No Feature,0.0,No Feature,NoPool,MnPrv,NoFeature,No Feature,5,2010,WD,Normal,11.944714374881176
20,RL,4.709530201312334,9.56317796268366,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,"(7.0, 10.0]","(0.999, 5.0]",2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,6.46302945692067,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1566,1566,GasA,Ex,Y,SBrkr,7.3783837129967145,0,No Feature,7.3783837129967145,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",Gd,"(6.0, 7.0]",Typ,"(-0.001, 1.0]",Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0.0,4.04305126783455,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,7,2009,WD,Normal,12.454107814022272
20,RL,4.110873864173311,8.881975184248867,Pave,NoAlley,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,"(0.999, 5.0]","(5.0, 7.0]",1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,5.459585514144159,Rec,6.18826412308259,180,900,GasA,TA,Y,SBrkr,6.803505257608338,0,No Feature,6.803505257608338,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",Gd,"(1.999, 5.0]",Typ,"(-0.001, 1.0]",NoFirePlace,Detchd,2005.0,Unf,2,576,TA,TA,Y,5.407171771460119,3.4965075614664802,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,5,2010,WD,Normal,11.811554895830454
20,RL,4.59511985013459,9.348274558065496,Pave,NoAlley,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,"(7.0, 10.0]","(0.999, 5.0]",2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,5.303304908059076,Gd,TA,PConc,Ex,TA,No,GLQ,7.105786129481271,Unf,0.0,486,1704,GasA,Ex,Y,SBrkr,7.4413203897176174,0,No Feature,7.4413203897176174,"(-0.001, 1.0]","(-0.001, 2.0]","(1.0, 2.0]","(-0.001, 1.0]","(2.0, 3.0]","(-0.001, 1.0]",Gd,"(6.0, 7.0]",Typ,"(-0.001, 1.0]",Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0.0,3.9318256327243257,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,5,2010,WD,Normal,12.631343648903034
20,RL,3.871201010907891,9.700269170029188,Pave,NoAlley,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,"(0.999, 5.0]","(5.0, 7.0]",1957,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,7.15305163493748,Unf,0.0,207,1484,GasA,TA,Y,SBrkr,7.3783837129967145,0,No Feature,7.3783837129967145,"(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 2.0]","(-0.001, 1.0]",TA,"(5.0, 6.0]",Typ,"(1.0, 3.0]",Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,5.666426688112432,5.556828061699537,0.0,No Feature,0.0,No Feature,NoPool,NoFence,NoFeature,No Feature,12,2006,WD,Normal,12.242891437918386
