MSSubClass,MSZoning,Alley,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,PoolQC,Fence,SaleType,SaleCondition,SalePrice,TotalBsmtSF_1stFlrSF_PC,2ndFlrSF_GrLivArea_PC,LotArea_LotFrontage_PC
20,RL,NoAlley,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,GasA,Ex,Y,SBrkr,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,NoPool,NoFence,WD,Normal,230000,719.5707069707098,-346.9923075089868,0.11614395261665855
120,RM,NoAlley,Reg,Lvl,Inside,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,GasA,TA,Y,SBrkr,1,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,NoPool,NoFence,WD,Normal,129900,-17.429472683640597,-346.9925739362307,-0.868057563531007
20,RL,NoAlley,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,GasA,Ex,Y,SBrkr,1,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,0,0,0,NoPool,MnPrv,WD,Normal,154000,2.5705241342498084,-346.9925739362307,-0.06780418198398941
20,RL,NoAlley,Reg,Lvl,Corner,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,GasA,Ex,Y,SBrkr,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,0,0,NoPool,NoFence,WD,Normal,256300,508.5706757077421,-346.99236568590095,0.6295080732353266
20,RL,NoAlley,Reg,Lvl,Corner,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,GasA,TA,Y,SBrkr,0,1,0,3,1,Gd,5,Typ,0,NoFirePlace,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,0,0,0,NoPool,NoFence,WD,Normal,134800,-157.4295426180288,-346.99265667716224,-0.2543451481839796
20,RL,NoAlley,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,GasA,Ex,Y,SBrkr,1,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,NoPool,NoFence,WD,Normal,306000,646.5706892538835,-346.99233382869227,0.3860515125120809
20,RL,NoAlley,IR1,Lvl,CulDSac,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,GasA,TA,Y,SBrkr,1,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,0,0,0,NoPool,NoFence,WD,Normal,207500,426.57068875439177,-346.99236568590095,0.3517713066737862
30,RM,NoAlley,IR1,Lvl,Inside,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,GasA,Fa,N,SBrkr,0,1,0,1,1,Fa,4,Typ,0,NoFirePlace,Detchd,1920.0,Unf,1,240,Fa,TA,Y,49,0,87,0,0,NoPool,NoFence,WD,Normal,68500,-537.4297911476972,-346.9929339392159,-0.3684750410630482
70,C (all),Pave,Reg,Lvl,Inside,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,GasA,TA,N,SBrkr,0,1,0,3,1,TA,6,Typ,0,NoFirePlace,Detchd,1920.0,Unf,1,250,TA,Fa,N,0,54,172,0,0,NoPool,MnPrv,WD,Normal,40000,-408.42968688037524,321.0074502792906,-0.1933968661788512
20,RL,NoAlley,IR1,Lvl,CulDSac,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,GasA,Gd,Y,SBrkr,0,1,1,3,1,Gd,6,Typ,0,NoFirePlace,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,65,0,0,0,NoPool,MnPrv,WD,Normal,149350,170.57058032128475,-346.99249953353626,-0.04246838867303104
20,RL,NoAlley,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,GasA,Ex,Y,SBrkr,0,2,0,3,1,Gd,7,Typ,0,NoFirePlace,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,30,0,0,0,NoPool,NoFence,WD,Normal,179900,176.57058211390677,-346.99249706837514,0.28564467199672094
20,RL,NoAlley,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,GasA,Gd,Y,SBrkr,0,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Y,0,38,0,0,0,NoPool,NoFence,WD,Normal,165500,340.57073661520053,-346.9923350176036,0.15407463376238972
120,RL,NoAlley,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,GasA,Ex,Y,SBrkr,1,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,Y,203,47,0,0,0,NoPool,NoFence,WD,Normal,277500,503.5706625917369,-346.9923781689689,-0.2406449592507336
60,RL,NoAlley,Reg,Lvl,Inside,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,GasA,Ex,Y,SBrkr,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,Y,113,32,0,0,0,NoPool,NoFence,WD,Normal,309000,59.57055210254407,973.0076811889501,0.5691738676908962
20,RL,NoAlley,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,GasA,Ex,Y,SBrkr,0,1,1,3,1,TA,6,Typ,0,NoFirePlace,Attchd,1995.0,Unf,2,672,TA,TA,Y,392,64,0,0,0,NoPool,NoFence,WD,Normal,145000,39.57053758390407,-346.9925565851906,0.4001285705602111
20,RL,NoAlley,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,GasA,Gd,Y,SBrkr,0,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,Y,0,0,0,0,0,NoPool,NoFence,WD,Normal,153000,239.5706001563883,-346.9924718841354,-0.006829965058239296
20,RL,NoAlley,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,GasA,TA,Y,SBrkr,1,1,0,3,1,Gd,5,Typ,0,NoFirePlace,Detchd,1953.0,Unf,1,246,TA,TA,Y,0,52,0,0,0,NoPool,NoFence,WD,Abnorml,109000,-0.4294769857031042,-346.99257536948915,-0.11171373780799954
90,RL,NoAlley,Reg,Lvl,Inside,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,,0.0,TA,TA,PConc,NoBasement,NoBasement,NoBasement,NoBasement,0,NoBasement,0,0,GasA,TA,N,FuseP,0,2,0,2,2,Fa,6,Typ,0,NoFirePlace,NoGarage,NoGarage,NoGarage,0,0,NoGarage,NoGarage,N,0,0,0,0,0,NoPool,NoFence,WD,AdjLand,82000,-1057.4292603058302,-346.9925318447431,-0.3714619326607149
20,RL,NoAlley,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,GasA,Ex,Y,SBrkr,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,Y,0,138,0,0,0,NoPool,GdWo,WD,Abnorml,160000,30.57064502307435,-346.99246146300754,0.06554325570519737
20,RL,NoAlley,Reg,Lvl,Inside,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,GasA,Gd,Y,SBrkr,0,1,1,2,1,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,308,TA,TA,P,0,104,0,0,0,NoPool,NoFence,WD,Normal,170000,292.57060503782145,-346.9924599372227,0.8020014679394851
85,RL,NoAlley,IR1,Lvl,CulDSac,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,GasA,Gd,Y,SBrkr,1,1,0,2,1,Gd,5,Typ,0,NoFirePlace,Attchd,1983.0,RFn,2,504,TA,Gd,Y,240,0,0,0,0,NoPool,MnPrv,WD,Normal,144000,-217.4295431790589,-346.9926657466771,0.012410141313218048
20,RL,NoAlley,IR1,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,GasA,TA,Y,SBrkr,1,1,0,3,1,TA,5,Typ,0,NoFirePlace,Detchd,1977.0,Unf,1,308,TA,TA,Y,145,0,0,0,0,NoPool,MnPrv,WD,Normal,130250,-119.42952536086307,-346.9926357668057,0.03388999817035909
20,RL,NoAlley,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,GasA,Ex,Y,FuseA,1,1,0,3,1,TA,6,Typ,0,NoFirePlace,Attchd,1959.0,RFn,1,300,TA,TA,Y,0,0,0,0,0,NoPool,NoFence,WD,Normal,141000,92.57055574352034,-346.99253272352587,-0.09558554538962305
120,RL,NoAlley,Reg,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,GasA,Ex,Y,SBrkr,1,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,576,TA,TA,Y,196,82,0,0,0,NoPool,NoFence,WD,Normal,319900,694.5706972782605,-346.9923197754008,-0.19236328716518614
50,RL,NoAlley,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,GasA,Ex,Y,SBrkr,1,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,2003.0,RFn,2,670,TA,TA,Y,168,43,0,198,0,NoPool,NoFence,WD,Abnorml,239686,376.57066705132615,284.00770271909624,0.14927615548945106
20,FV,NoAlley,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,GasA,Ex,Y,SBrkr,0,2,0,3,1,Gd,7,Typ,0,NoFirePlace,Attchd,2006.0,RFn,3,826,TA,TA,Y,0,146,0,0,0,NoPool,NoFence,WD,Normal,249700,598.5706807822432,-346.99234828332123,0.2838214548741558
190,RM,NoAlley,Reg,Lvl,Inside,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,GasA,Gd,Y,SBrkr,0,2,0,2,3,TA,8,Typ,0,NoFirePlace,NoGarage,NoGarage,NoGarage,0,0,NoGarage,NoGarage,N,0,0,102,0,0,NoPool,NoFence,New,Partial,113000,-321.4296298625949,369.0074934900792,-0.9542170914679762
20,RL,NoAlley,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,GasA,Ex,Y,SBrkr,1,1,0,3,1,TA,6,Typ,0,NoFirePlace,Attchd,1966.0,Unf,1,386,TA,TA,Y,0,0,0,0,0,NoPool,MnPrv,WD,Normal,127000,-102.42951794429553,-346.9926266847269,-0.14591117879791504
60,RL,NoAlley,IR2,Lvl,Corner,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,GasA,Gd,Y,SBrkr,0,2,0,3,1,TA,6,Typ,0,NoFirePlace,Attchd,1997.0,Fin,2,388,TA,TA,Y,0,75,0,0,0,NoPool,NoFence,WD,Normal,177000,-263.4295963576129,329.0075048465199,0.5142319928740022
50,RM,NoAlley,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,GasA,TA,Y,SBrkr,0,1,0,3,1,TA,6,Typ,1,Gd,Detchd,1985.0,Unf,2,528,TA,TA,Y,112,0,0,0,0,NoPool,MnPrv,WD,Normal,114500,-241.42958445965553,-346.99252141665744,-0.4470411956272642
90,RM,NoAlley,IR2,Bnk,Corner,IDOTRR,RRNn,Duplex,1Story,5,5,1963,1963,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,GasA,TA,N,SBrkr,1,1,0,2,1,TA,5,Typ,0,NoFirePlace,CarPort,1963.0,Unf,2,516,TA,TA,Y,106,0,0,0,0,NoPool,NoFence,WD,Normal,110000,-241.42958445965553,-346.99270621493474,0.17325373113262543
